iter	timestamp	elapsed_sec	agent	commit	research_score	detection_err	split_err	abstain_err	status	description
1	2026-06-30T10:18:42+00:00	0.0	claude	86052e1	2.000000	1.0	1.0	0.0	keep	baseline (abstain-all stub)
2	2026-06-30T10:21:06+00:00	143.7	claude	c9f07c5	0.553726	0.2244	0.0793	0.25	keep	v1: bigram-anchor + window-align
3	2026-06-30T10:23:38+00:00	295.3	claude	d01fa55	0.193599	0.1339	0.0597	0.0	keep	surah-filter, sub-id collapse, no-backward-pad clamp
4	2026-06-30T10:25:01+00:00	378.7	claude	2402728	0.126670	0.0827	0.044	0.0	keep	strip leading taawwudh
5	2026-06-30T10:28:24+00:00	581.9	claude	e03e422	0.144062	0.0984	0.0456	0.0	discard	back-pad + boundary trim (support<=1)
6	2026-06-30T10:28:54+00:00	611.5	claude	c295888	0.156985	0.1102	0.0467	0.0	discard	boundary trim support<=1, no back-pad
7	2026-06-30T10:29:34+00:00	651.8	claude	e0eafd1	0.118634	0.0748	0.0438	0.0	keep	cross-surah boundary leak trim
8	2026-06-30T10:30:25+00:00	703.0	claude	6def7b8	0.104636	0.0669	0.0377	0.0	keep	MIN_COVERAGE 0.30->0.10
9	2026-06-30T10:33:11+00:00	868.3	claude	4412cba	0.130064	0.0906	0.0395	0.0	discard	back-pad 5 + support<=1 trim
10	2026-06-30T10:33:29+00:00	886.8	claude	14f8645	0.115843	0.0787	0.0371	0.0	discard	back-pad 5 + cross-surah trim
11	2026-06-30T10:34:23+00:00	937.3	claude	04fde04	0.091881	0.0551	0.0368	0.0	keep	targeted leading recovery
12	2026-06-30T10:38:24+00:00	1181.5	claude	0543be7	0.087827	0.0512	0.0366	0.0	keep	interior single-support trim
13	2026-06-30T10:39:13+00:00	1230.9	claude	a4655ff	0.087515	0.0512	0.0363	0.0	keep	LOOKBACK 25
